Molecule	Upper Manifold	J'	Sym'	#'	Lower Manifold	J"	Sym"	#"	Position	Intensity	Eupper	Elower	Spol	A	Width	Branch	Label
LinearMolecule	Excited	35	f	1	Ground	35	e	1	721.002359398346	0.0000202861839424903	2578.9463445587	1857.94398516035	23.6666666666667	117.547186390264	0	Q(35)	Excited v=1 35 f - Ground v=0 35 e
LinearMolecule	Excited	36	f	1	Ground	36	e	1	721.507320862698	0.0000124661788006814	2685.34076251073	1963.83344164803	24.3333333333333	117.794335568555	0	Q(36)	Excited v=1 36 f - Ground v=0 36 e
LinearMolecule	Excited	37	f	1	Ground	37	e	1	722.0251119179	7.54739921528627E-6	2794.65797906066	2072.63286714276	25	118.048123577284	0	Q(37)	Excited v=1 37 f - Ground v=0 37 e
LinearMolecule	Excited	38	f	1	Ground	38	e	1	722.555634170817	4.5020974037916E-6	2906.89531460021	2184.3396804294	25.6666666666667	118.308529413255	0	Q(38)	Excited v=1 38 f - Ground v=0 38 e
LinearMolecule	Excited	39	f	1	Ground	39	e	1	723.098786569037	2.64610752008247E-6	3022.05001709925	2298.95123053021	26.3333333333333	118.575531184914	0	Q(39)	Excited v=1 39 f - Ground v=0 39 e
LinearMolecule	Excited	40	f	1	Ground	40	e	1	723.654465400877	1.53248249905794E-6	3140.1192621058	2416.46479670493	27	118.849106087217	0	Q(40)	Excited v=1 40 f - Ground v=0 40 e
LinearMolecule	Excited	4	e	1	Ground	3	e	1	723.800845439077	0.0109538507778278	741.539081904276	17.7382364651991	1.66666666666667	66.0673570448395	0	R(3)	Excited v=1  4 e - Ground v=0  3 e
LinearMolecule	Excited	41	f	1	Ground	41	e	1	724.222564295378	8.74577845245148E-7	3261.10015274605	2536.87758845067	27.6666666666667	119.129230375919	0	Q(41)	Excited v=1 41 f - Ground v=0 41 e
LinearMolecule	Excited	42	f	1	Ground	42	e	1	724.802974222309	4.91852613162066E-7	3384.98971972433	2660.18674550202	28.3333333333333	119.415879341276	0	Q(42)	Excited v=1 42 f - Ground v=0 42 e
LinearMolecule	Excited	43	f	1	Ground	43	e	1	725.395583492162	2.72598195703735E-7	3511.78492132314	2786.38933783098	29	119.70902728118	0	Q(43)	Excited v=1 43 f - Ground v=0 43 e
LinearMolecule	Excited	44	f	1	Ground	44	e	1	726.000277756158	1.48894864658431E-7	3641.48264340311	2915.48236564695	29.6666666666667	120.008647473732	0	Q(44)	Excited v=1 44 f - Ground v=0 44 e
LinearMolecule	Excited	45	f	1	Ground	45	e	1	726.616940006244	8.01533898873335E-8	3774.07969940305	3047.4627593968	30.3333333333333	120.314712149258	0	Q(45)	Excited v=1 45 f - Ground v=0 45 e
LinearMolecule	Excited	5	e	1	Ground	4	e	1	726.754696263366	0.012410393791162	756.317958621555	29.5632623581884	2	65.6635390952154	0	R(4)	Excited v=1  5 e - Ground v=0  4 e
LinearMolecule	Excited	46	f	1	Ground	46	e	1	727.245450575089	4.25270902096529E-8	3909.57283033991	3182.32737976482	31	120.627192461777	0	Q(46)	Excited v=1 46 f - Ground v=0 46 e
LinearMolecule	Excited	6	e	1	Ground	5	e	1	729.707815778029	0.0134750481634444	774.051837283168	44.3440215051386	2.33333333333333	65.6151101328406	0	R(5)	Excited v=1  6 e - Ground v=0  5 e
LinearMolecule	Excited	7	e	1	Ground	6	e	1	732.660130941857	0.0141280252442785	794.74029603505	62.0801650931923	2.66666666666667	65.7822291535105	0	R(6)	Excited v=1  7 e - Ground v=0  6 e
LinearMolecule	Excited	8	e	1	Ground	7	e	1	735.611568167203	0.0143732596875425	818.382842714123	82.7712745469203	3	66.090862503458	0	R(7)	Excited v=1  8 e - Ground v=0  7 e
LinearMolecule	Excited	9	e	1	Ground	8	e	1	738.562053319978	0.0142363015847993	844.9789148483	106.416861528322	3.33333333333333	66.4981480149745	0	R(8)	Excited v=1  9 e - Ground v=0  8 e
LinearMolecule	Excited	10	e	1	Ground	9	e	1	741.511511719657	0.0137606386016949	874.527879656482	133.016367936825	3.66666666666666	66.9775510581604	0	R(9)	Excited v=1 10 e - Ground v=0  9 e
LinearMolecule	Excited	11	e	1	Ground	10	e	1	744.459868139272	0.0130029384575152	907.029034048559	162.569165909287	4	67.511765255502	0	R(10)	Excited v=1 11 e - Ground v=0 10 e
LinearMolecule	Excited	12	e	1	Ground	11	e	1	747.407046805418	0.0120277689258134	942.481604625409	195.074557819991	4.33333333333333	68.089020848087	0	R(11)	Excited v=1 12 e - Ground v=0 11 e
LinearMolecule	Excited	13	e	1	Ground	12	e	1	750.352971398249	0.0109023456651427	980.8847476789	230.531776280652	4.66666666666667	68.7010337829795	0	R(12)	Excited v=1 13 e - Ground v=0 12 e
LinearMolecule	Excited	14	e	1	Ground	13	e	1	753.297565051481	0.00969178679366393	1022.23754919189	268.93998414041	5	69.3418034494661	0	R(13)	Excited v=1 14 e - Ground v=0 13 e
LinearMolecule	Excited	15	e	1	Ground	14	e	1	756.240750352389	0.00845523462325485	1066.53902483823	310.298274485837	5.33333333333333	70.0068758033955	0	R(14)	Excited v=1 15 e - Ground v=0 14 e
LinearMolecule	Excited	16	e	1	Ground	15	e	1	759.182449341809	0.00724306126970506	1113.78811998274	354.605670640931	5.66666666666667	70.6928744422387	0	R(15)	Excited v=1 16 e - Ground v=0 15 e
