Molecule	Upper Manifold	J'	Sym'	#'	Lower Manifold	J"	Sym"	#"	Position	Intensity	Eupper	Elower	Spol	A	Width	Branch	Label
LinearMolecule	Excited	40	e	1	Ground	39	e	1	829.708900674234	1.34511485367769E-6	3132.77479312651	2303.06589245228	13.6666666666667	90.673058549788	0	R(39)	Excited v=1 40 e - Ground v=0 39 e
LinearMolecule	Excited	41	e	1	Ground	40	e	1	832.642509179323	7.76076279382245E-7	3253.81434483428	2421.17183565496	14	91.6113148791087	0	R(40)	Excited v=1 41 e - Ground v=0 40 e
LinearMolecule	Excited	42	e	1	Ground	41	e	1	835.575653292339	4.41133634638492E-7	3377.80608073005	2542.23042743771	14.3333333333333	92.5569514885064	0	R(41)	Excited v=1 42 e - Ground v=0 41 e
LinearMolecule	Excited	43	e	1	Ground	42	e	1	838.508333013283	2.47040399423126E-7	3504.75000081381	2666.24166780052	14.6666666666667	93.5099346083747	0	R(42)	Excited v=1 43 e - Ground v=0 42 e
LinearMolecule	Excited	44	e	1	Ground	43	e	1	841.440548342154	1.36303935698083E-7	3634.64610508556	2793.20555674341	15	94.4702353281695	0	R(43)	Excited v=1 44 e - Ground v=0 43 e
LinearMolecule	Excited	45	e	1	Ground	44	e	1	844.372299278953	7.40971121198694E-8	3767.49439354531	2923.12209426635	15.3333333333333	95.4378290600346	0	R(44)	Excited v=1 45 e - Ground v=0 44 e
LinearMolecule	Excited	46	e	1	Ground	45	e	1	847.303585823679	3.96876940889133E-8	3903.29486619305	3055.99128036937	15.6666666666667	96.4126950716358	0	R(45)	Excited v=1 46 e - Ground v=0 45 e
LinearMolecule	Excited	47	e	1	Ground	46	e	1	850.234407976332	2.09450207236068E-8	4042.04752302879	3191.81311505245	16	97.3948160780068	0	R(46)	Excited v=1 47 e - Ground v=0 46 e
LinearMolecule	Excited	48	e	1	Ground	47	e	1	853.164765736913	1.08914117203624E-8	4183.75236405252	3330.5875983156	16.3333333333333	98.384177883891	0	R(47)	Excited v=1 48 e - Ground v=0 47 e
LinearMolecule	Excited	49	e	1	Ground	48	e	1	856.094659105421	5.58050663461487E-9	4328.40938926424	3472.31473015882	16.6666666666667	99.3807690694339	0	R(48)	Excited v=1 49 e - Ground v=0 48 e
LinearMolecule	Excited	50	e	1	Ground	49	e	1	859.024088081856	2.81745066168661E-9	4476.01859866396	3616.99451058211	17	100.384580713224	0	R(49)	Excited v=1 50 e - Ground v=0 49 e
149	0.666666665265018
