Molecule	Upper Manifold	J'	Sym'	#'	Lower Manifold	J"	Sym"	#"	Position	Intensity	Eupper	Elower	Spol	A	Width	Branch	Label
LinearMolecule	Excited	4	e	1	Ground	3	e	1	723.801095722528	0.0109538353844258	741.53924156949	17.7381458469613	1.66666666666667	66.0674255812551	0	R(3)	Excited v=1  4 e - Ground v=0  3 e
LinearMolecule	Excited	40	f	1	Ground	40	e	1	723.824557259695	1.53213340717963E-6	3140.33584391035	2416.51128665066	27	118.932930695051	0	Q(40)	Excited v=1 40 f - Ground v=0 40 e
LinearMolecule	Excited	41	f	1	Ground	41	e	1	724.412404839537	8.74352141154745E-7	3261.3427136508	2536.93030881126	27.6666666666667	119.22293701158	0	Q(41)	Excited v=1 41 f - Ground v=0 41 e
LinearMolecule	Excited	42	f	1	Ground	42	e	1	725.014172658162	4.9170930581369E-7	3385.26048923421	2660.24631657604	28.3333333333333	119.520298600566	0	Q(42)	Excited v=1 42 f - Ground v=0 42 e
LinearMolecule	Excited	43	f	1	Ground	43	e	1	725.629832866461	2.72508813759371E-7	3512.08625872716	2786.4564258607	29	119.825036346209	0	Q(43)	Excited v=1 43 f - Ground v=0 43 e
LinearMolecule	Excited	44	f	1	Ground	44	e	1	726.259357229883	1.48840088168835E-7	3641.81704258118	2915.5576853513	29.6666666666667	120.137171696954	0	Q(44)	Excited v=1 44 f - Ground v=0 44 e
LinearMolecule	Excited	5	e	1	Ground	4	e	1	726.754961688719	0.0124103798336308	756.318075694238	29.5631140055188	2	65.6636110401556	0	R(4)	Excited v=1  5 e - Ground v=0  4 e
LinearMolecule	Excited	45	f	1	Ground	45	e	1	726.902717148035	8.01203983953503E-8	3774.44979375388	3047.54707660585	30.3333333333333	120.456726671414	0	Q(45)	Excited v=1 45 f - Ground v=0 45 e
LinearMolecule	Excited	46	f	1	Ground	46	e	1	727.559883674738	4.2507557415896E-8	3909.98139783301	3182.42151415827	31	120.78372386457	0	Q(46)	Excited v=1 46 f - Ground v=0 46 e
LinearMolecule	Excited	6	e	1	Ground	5	e	1	729.70810095841	0.0134750375369646	774.051904972999	44.3438040145893	2.33333333333333	65.6151870628762	0	R(5)	Excited v=1  6 e - Ground v=0  5 e
LinearMolecule	Excited	7	e	1	Ground	6	e	1	732.660439438237	0.0141280194933233	794.740308545645	62.0798691074073	2.66666666666667	65.7823122490165	0	R(6)	Excited v=1  7 e - Ground v=0  6 e
LinearMolecule	Excited	8	e	1	Ground	7	e	1	735.611902261588	0.01437325980119	818.382795451428	82.7708931898401	3	66.0909525534126	0	R(7)	Excited v=1  8 e - Ground v=0  7 e
LinearMolecule	Excited	9	e	1	Ground	8	e	1	738.562413794157	0.0142363078779774	844.978804648718	106.416390854561	3.33333333333333	66.4982453834092	0	R(8)	Excited v=1  9 e - Ground v=0  8 e
LinearMolecule	Excited	10	e	1	Ground	9	e	1	741.511897639954	0.0137606506954225	874.527705037539	133.015807397586	3.66666666666666	66.9776556337851	0	R(9)	Excited v=1 10 e - Ground v=0  9 e
LinearMolecule	Excited	11	e	1	Ground	10	e	1	744.460276647763	0.0130029553545408	907.028795484935	162.568518837172	4	67.5118763930355	0	R(10)	Excited v=1 11 e - Ground v=0 10 e
LinearMolecule	Excited	12	e	1	Ground	11	e	1	747.407472918073	0.0120277891633283	942.481304853152	195.073831935079	4.33333333333333	68.0891373051507	0	R(11)	Excited v=1 12 e - Ground v=0 11 e
LinearMolecule	Excited	13	e	1	Ground	12	e	1	750.353407810443	0.0109023675159317	980.884392030633	230.53098422019	4.66666666666667	68.7011536545097	0	R(12)	Excited v=1 13 e - Ground v=0 12 e
LinearMolecule	Excited	14	e	1	Ground	13	e	1	753.298001951337	0.00969180848254548	1022.23714596584	268.939144014502	5	69.3419241007582	0	R(13)	Excited v=1 14 e - Ground v=0 13 e
LinearMolecule	Excited	15	e	1	Ground	14	e	1	756.241175242415	0.00845525452709967	1066.53858570388	310.297410461467	5.33333333333333	70.006993802485	0	R(14)	Excited v=1 15 e - Ground v=0 14 e
LinearMolecule	Excited	16	e	1	Ground	15	e	1	759.18284686927	0.00724307807572243	1113.78766042598	354.604813556709	5.66666666666667	70.6929854921197	0	R(15)	Excited v=1 16 e - Ground v=0 15 e
LinearMolecule	Excited	17	e	1	Ground	16	e	1	762.122935310631	0.0060952411148365	1163.98324949172	401.860314181092	6	71.3972913216604	0	R(16)	Excited v=1 17 e - Ground v=0 16 e
LinearMolecule	Excited	18	e	1	Ground	17	e	1	765.061358348014	0.0050407488813308	1217.12416248417	452.062804136154	6.33333333333333	72.117864647119	0	R(17)	Excited v=1 18 e - Ground v=0 17 e
LinearMolecule	Excited	19	e	1	Ground	18	e	1	767.998033075838	0.00409803775825656	1273.20913925775	505.21110618191	6.66666666666666	72.8530758763441	0	R(18)	Excited v=1 19 e - Ground v=0 18 e
LinearMolecule	Excited	20	e	1	Ground	19	e	1	770.932875911984	0.00327607477517738	1332.23684998899	561.303974077005	7	73.6016105050147	0	R(19)	Excited v=1 20 e - Ground v=0 19 e
LinearMolecule	Excited	21	e	1	Ground	20	e	1	773.86580260882	0.00257592119291127	1394.20589523006	620.340092621238	7.33333333333333	74.3623956052177	0	R(20)	Excited v=1 21 e - Ground v=0 20 e
LinearMolecule	Excited	22	e	1	Ground	21	e	1	776.796728264679	0.00199252077680104	1459.11480596513	682.318077700449	7.66666666666667	75.1345459147874	0	R(21)	Excited v=1 22 e - Ground v=0 21 e
LinearMolecule	Excited	23	e	1	Ground	22	e	1	779.725567335793	0.00151650628242853	1526.96204366955	747.23647633376	8	75.9173236889786	0	R(22)	Excited v=1 23 e - Ground v=0 22 e
LinearMolecule	Excited	24	e	1	Ground	23	e	1	782.65223364868	0.0011358656363396	1597.74600037187	815.093766723188	8.33333333333333	76.71010838247	0	R(23)	Excited v=1 24 e - Ground v=0 23 e
LinearMolecule	Excited	25	e	1	Ground	24	e	1	785.576640412988	0.000837362810302192	1671.4649987186	885.888358305616	8.66666666666667	77.5123734632735	0	R(24)	Excited v=1 25 e - Ground v=0 24 e
LinearMolecule	Excited	26	e	1	Ground	25	e	1	788.498700234801	0.000607659573489257	1748.11729204192	959.618591807121	9	78.3236684747421	0	R(25)	Excited v=1 26 e - Ground v=0 25 e
LinearMolecule	Excited	27	e	1	Ground	26	e	1	791.418325130386	0.000434127612591157	1827.70106443006	1036.28273929968	9.33333333333333	79.1436050098914	0	R(26)	Excited v=1 27 e - Ground v=0 26 e
LinearMolecule	Excited	28	e	1	Ground	27	e	1	794.335426540416	0.000305372908770465	1910.21443080063	1115.87900426021	9.66666666666666	79.9718456372138	0	R(27)	Excited v=1 28 e - Ground v=0 27 e
LinearMolecule	Excited	29	e	1	Ground	28	e	1	797.24991534463	0.000211514994515192	1995.65543697664	1198.40552163201	10	80.8080950777199	0	R(28)	Excited v=1 29 e - Ground v=0 28 e
LinearMolecule	Excited	30	e	1	Ground	29	e	1	800.161701876957	0.000144273758919557	2084.0220597655	1283.86035788854	10.3333333333333	81.6520931166326	0	R(29)	Excited v=1 30 e - Ground v=0 29 e
LinearMolecule	Excited	31	e	1	Ground	30	e	1	803.070695941101	0.0000969178910214424	2175.31220704065	1372.24151109955	10.6666666666667	82.5036088643485	0	R(30)	Excited v=1 31 e - Ground v=0 30 e
